,label,area,centroid-0,centroid-1,day,cebp_integrated,gr_integrated,vdr_integrated
9,10,41035,1425,1914,-1.0,171963896,174402029,213051470
10,11,74343,1897,1752,-1.0,405602740,221681388,398763121
11,12,43437,1926,1062,-1.0,238562588,112407116,261262385
0,1,30585,158,218,-1.0,148054028,150754973,199091213
1,2,53907,252,487,-1.0,271741723,169449867,317801381
2,3,46646,312,1401,-1.0,244121550,154031443,285697730
3,4,54166,453,849,-1.0,222889167,127355921,346105241
4,5,68565,570,1571,-1.0,380714397,246023506,428452010
5,6,25189,762,76,-1.0,127630062,104975545,164991086
6,7,45113,819,759,-1.0,225966563,173483689,271961896
7,8,43946,900,286,-1.0,356265836,280196860,353770588
8,9,24885,916,1987,-1.0,128102344,74989004,153888799
9,10,38817,981,1445,-1.0,204653527,305681426,257025509
10,11,53632,1209,1346,-1.0,263855554,298310556,324348583
11,12,16610,1210,1681,-1.0,44960688,32913843,88310559
12,13,38266,1543,960,-1.0,215703250,235977644,258357302
13,14,39582,1767,1015,-1.0,186222843,180066330,248261761
14,15,44082,1935,702,-1.0,206307040,242523420,267090402
0,1,32190,99,609,-1.0,175095659,133402927,266828995
1,2,30958,71,1170,-1.0,158633315,107655336,241517577
2,3,10394,161,2021,-1.0,68612199,53260120,98018328
3,4,30222,386,1967,-1.0,168187464,172986952,264575281
4,5,38780,463,167,-1.0,350283045,233221991,464482170
5,6,90386,668,1097,-1.0,489775758,544293836,791742507
6,7,37527,635,575,-1.0,217263494,157417039,333842254
7,8,32540,725,365,-1.0,168056561,105905109,267543502
8,9,37489,962,1464,-1.0,207242956,135328791,331771690
9,10,35714,992,930,-1.0,213042228,206217169,320597703
10,11,56517,1393,1951,-1.0,301103805,249784659,486881982
11,12,53770,1385,641,-1.0,301953121,204316578,461976871
12,13,35517,1434,1679,-1.0,185643945,225447008,308686293
13,14,30975,1511,73,-1.0,173105285,133061321,268450807
14,15,54513,1559,517,-1.0,295968608,182898761,457046099
15,16,62894,1753,1755,-1.0,337905965,351430179,553519680
16,17,32155,1712,706,-1.0,178480285,122528352,281453328
17,18,34745,1787,1196,-1.0,259741255,221613358,379278044
18,19,31990,1954,1430,-1.0,163398591,165884380,269753098
0,1,41397,128,774,-1.0,208137800,166845642,258085544
1,2,52033,157,1474,-1.0,225967951,314624661,302684142
2,3,29915,322,1963,-1.0,144900646,116051941,180782204
3,4,24186,325,1224,-1.0,90869310,53103671,145907308
4,5,37541,505,761,-1.0,194359485,132671010,241757111
5,6,40433,625,1392,-1.0,199614862,153510771,252466645
6,7,33190,778,1013,-1.0,152455572,89096429,205852103
7,8,60942,978,178,-1.0,349791656,289958336,408450127
8,9,36843,1149,756,-1.0,201734706,113442617,239403885
9,10,36900,1292,1697,-1.0,183941554,174820471,228893087
10,11,88357,1395,140,-1.0,428122509,497970410,531893019
11,12,32755,1550,516,-1.0,172038183,119996518,205829467
12,13,26129,1863,172,-1.0,113704857,92066296,149472741
0,1,30135,71,1468,-1.0,119015322,141843785,150091913
1,2,46675,520,1504,-1.0,196778385,133976019,250423145
2,3,21845,549,1995,-1.0,91205741,120565451,117333619
3,4,28943,538,1798,-1.0,153502285,100295532,170855925
4,5,53126,880,840,-1.0,254167170,184676780,294132503
5,6,41649,884,1170,-1.0,203059108,265852835,238400566
6,7,33334,949,1944,-1.0,135227238,122693654,184890832
7,8,38775,1103,990,-1.0,180918958,161345701,211708597
8,9,39596,1181,1617,-1.0,183670867,233496717,238732231
9,10,40336,1229,1164,-1.0,195051350,204145933,228069028
10,11,41658,1325,525,-1.0,189548675,259650901,227521441
