,Unnamed: 0,label,area,bbox_area,centroid-0,centroid-1,convex_area,eccentricity,equivalent_diameter,extent,local_centroid-0,local_centroid-1,major_axis_length,minor_axis_length,perimeter,solidity,inertia_tensor_eigvals-0,inertia_tensor_eigvals-1,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,in_object
4,14,15,56156,74025,1101,148,61057,0.7727687408964833,267.3949137028373,0.7586085781830463,112,148,346.5813048082664,219.97089027306308,1035.9036790187176,0.9197307434037048,7507.412552662526,3024.199535470247,0.18754206296981216,0.006373623691288883,0.0001793943795659046,4.624332637166785e-06,-1.3312871721750395e-10,-2.642623510190768e-07,4.104061376614146e-12,0.0
5,19,20,76222,122177,1592,1460,86239,0.7511270483584648,311.52666752431264,0.6238653756435336,199,171,404.6958227578767,267.163053851799,1310.881384442131,0.8838460557288466,10236.169309854671,4461.006083963704,0.19282064750096267,0.005740739584923827,0.00044970355698699345,1.2999799395013553e-05,4.016671929652451e-10,6.661720530849257e-07,-9.091844937218301e-10,0.0
6,24,25,1,1,1745,6,1,0.0,1.1283791670955126,1.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,26,27,628,812,1929,1157,648,0.32452101689386115,28.277100878514442,0.7733990147783252,13,13,29.114865072804214,27.539124484639334,91.25483399593905,0.9691358024691358,52.97971051297464,47.400211086278865,0.1598406394892572,7.893528604735131e-05,3.2387085301850375e-05,1.2649334663945795e-08,8.083771341806523e-15,9.444939245516049e-11,4.5052816359349195e-16,0.0
8,27,28,10620,14007,2014,888,10721,0.9325915620412768,116.2832918569449,0.7581923324052259,39,101,199.64408731438868,72.05823558977517,482.00714267493635,0.9905792370114728,2491.110099974704,324.5243322694713,0.2651256527536888,0.04162006349125298,0.001883894289186262,0.00016045434327980517,-8.629324350299614e-08,-3.227257182672113e-05,-1.8325658596521912e-08,0.0
9,28,29,1,1,2013,1570,1,0.0,1.1283791670955126,1.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4,5,47698,62419,243,1743,48146,0.5607377643503584,246.4365634494561,0.7641583492205899,120,127,270.9547686870493,224.34877476443012,828.6072144624361,0.9906949694678686,4588.530417140775,3145.773296143813,0.16215153074100772,0.000914926305862943,9.28393780360904e-06,9.071789215960605e-08,-2.4547934849319132e-14,-9.449266371536716e-10,7.955275666436573e-14,1.0
1,8,9,44263,56898,966,1885,44587,0.6202069006512351,237.39713976502014,0.7779359555696158,109,126,268.22786327350843,210.40820119346068,795.2518754031088,0.9927333079148629,4496.636664766996,2766.97569559174,0.16410122134420926,0.0015270043687054652,1.2635146085519133e-05,1.689418741372119e-07,-9.140746375529404e-14,-2.385591090003717e-09,-2.292797548686302e-13,1.0
2,10,11,40542,53460,1196,1922,40798,0.5262210686921097,227.19964265520528,0.758361391694725,109,117,246.81377174532622,209.87754866953452,760.9087296526012,0.9937251826069904,3807.3148701971254,2753.0365897208026,0.16181617729559294,0.0006762389482680077,3.956268824492344e-05,3.716460384596041e-07,-1.2638462305830539e-12,-8.882474734491859e-09,6.584270638611887e-13,1.0
3,11,12,76926,103896,1325,197,77428,0.6918280680213729,312.96201881106464,0.7404134904134904,170,160,369.13942554173445,266.541652202489,1064.4722215136414,0.9935165573177662,8516.49471808011,4440.278272427036,0.16843164847395092,0.002807812948657745,5.6716885795812585e-05,1.385766039127235e-06,2.3741092123023986e-12,2.0161474041874764e-09,-1.2053874086618148e-11,1.0
4,12,13,69423,94250,1313,820,69771,0.6450014685824587,297.30810435329414,0.7365835543766578,156,140,340.7756927427086,260.41442220229766,1004.57272657703,0.9950122543750268,7258.004547767062,4238.4794556847855,0.1656005070862948,0.001891779572925298,5.772634138919049e-05,1.0841370405277935e-06,-1.7730780348494569e-12,-1.4853207320826728e-08,-8.391282984412349e-12,1.0
5,13,14,133217,178255,1668,1866,135610,0.7130410370635331,411.84603000512726,0.7473394855684272,226,203,494.0771395783047,346.40850044546653,1456.2367235014588,0.9823538087161714,15257.013740867476,7499.928073804798,0.17082610939048526,0.00339061029894427,0.00012285507084901502,4.753755077533732e-06,1.0663843742533251e-10,2.606216935467659e-07,-4.273292580257362e-11,1.0
0,0,1,2493,3828,10,58,2590,0.9748986730735528,56.33991644495722,0.6512539184952978,10,58,126.0767322216782,28.070858363303962,292.1898628384834,0.9625482625482624,993.4589004810472,49.24831807829199,0.4182539986198713,0.14344756154317528,0.007030250369380776,0.0020162017992309414,6.52086529307366e-06,0.000394331026779472,-3.885647142598983e-06,0.0
1,1,2,30299,39334,59,655,30491,0.8302561938093389,196.41253770044997,0.7703005033812986,59,142,271.33267952811457,151.23594153254544,735.0020920410531,0.9937030599193204,4601.3389362441585,1429.5193757022187,0.19904479725226504,0.010958733253725574,0.0012791186643584106,7.462723284833579e-05,-2.1729943626075488e-08,-7.631526241307146e-06,7.70917864507913e-09,0.0
2,2,3,5389,8281,18,1280,5495,0.9533472416906192,82.83409869478747,0.6507668156019805,18,89,159.03660381113994,48.00931205012686,383.37972567696687,0.9807097361237488,1580.7900844863432,144.05587772040354,0.32006790911240424,0.07107821234754964,0.005460842679786256,0.001637780606843202,4.5204014586937115e-06,0.00031818078730647836,1.88567820485669e-06,0.0
3,3,4,1714,2303,139,1567,1740,0.5089168712137611,46.71544262528258,0.7442466348241424,24,22,50.416175759792786,43.399034129456055,153.4386001800126,0.9850574712643678,158.8619236401449,117.71726021060572,0.1613647513714998,0.0005762426420112432,1.678404022260316e-05,4.1770268360822737e-08,-3.456261883773479e-14,-8.287018376927403e-10,5.350489018878012e-15,0.0
4,5,6,2527,3249,382,1053,2566,0.2987515849498553,56.72280255369754,0.7777777777777778,27,27,58.11840666283102,55.464192061663205,185.92388155425118,0.9848012470771628,211.1093245641376,192.26728756581653,0.15962667674315556,5.559621434703851e-05,2.2855671436613805e-05,1.6917544113055373e-08,-5.1601788355043294e-15,-1.0968471115031224e-10,9.167139444248719e-15,0.0
5,6,7,72210,100100,488,1635,78374,0.8211689456076697,303.21712934022395,0.7213786213786214,118,203,413.8179142771679,236.1597465812569,1169.685424949238,0.9213514685992804,10702.829136044093,3485.7141190827183,0.19649000491797272,0.009989242659035282,0.0003853142639836524,3.747469116062418e-05,4.182711509613141e-09,3.516030917235996e-06,-1.6682680932158874e-09,0.0
6,7,8,63183,96100,790,1186,66684,0.7443732775624613,283.63196955738573,0.657471383975026,144,148,356.4887747924316,238.05028051089752,1048.874241767195,0.9474986503509089,7942.765409563064,3541.746003207312,0.1817658454452998,0.004851835652687349,0.0005890674720830784,1.7670066353535536e-05,1.1647716981408022e-09,6.945408856562584e-07,1.3759646140254806e-09,0.0
