,label,area,centroid-0,centroid-1,day,dapi_integrated,cebp_integrated,ppar_integrated
10,11,38067,1808,1051,0.0,165853668,97989463,63699298
11,12,34099,1777,442,0.0,144506517,114657901,61413459
0,1,40853,491,700,0.0,185571033,116008411,54266917
1,2,17912,502,872,0.0,117429737,18012385,21077503
2,3,37709,744,1622,0.0,174162676,120190485,59510556
3,4,36540,740,590,0.0,184333709,119829375,61600782
4,5,81099,806,330,0.0,381364679,232007478,124604363
5,6,35069,795,844,0.0,174487987,97351044,45089688
6,7,36964,1082,1561,0.0,187342924,127402896,57011027
7,8,38366,1259,1195,0.0,323410840,124777379,56458013
8,9,43664,1366,1740,0.0,186122366,123190422,69800677
9,10,61382,1460,727,0.0,341471915,198814607,84952081
10,11,25314,1844,67,0.0,110848199,108961713,34570628
0,1,38771,296,1825,0.0,158655861,41573047,50219194
1,2,36884,314,233,0.0,151887624,93600031,45307762
2,3,39046,611,477,0.0,160757474,123476467,67131330
3,4,46576,751,1270,0.0,263862059,146111008,82622002
4,5,42157,849,1834,0.0,199240397,100625022,93558854
5,6,41443,938,654,0.0,183473418,120532333,62954776
6,7,39305,1024,969,0.0,175781576,91378889,90795113
7,8,41793,1231,645,0.0,181121933,113047795,47273945
8,9,66787,1934,1805,0.0,254664737,112331791,100839890
0,1,34450,163,1892,0.0,160373084,77388717,40454019
1,2,41959,404,1339,0.0,222893184,186032741,66000248
2,3,35077,598,1730,0.0,202681998,128214500,43937024
3,4,35488,689,994,0.0,198454371,109982783,59886262
4,5,43972,755,1376,0.0,212992693,116988019,54945895
5,6,76467,1055,1198,0.0,478054706,381094341,166197122
6,7,39516,1032,1701,0.0,214554202,124838578,56512932
7,8,39546,1119,854,0.0,218873973,116886409,55691633
8,9,30266,1478,1466,0.0,199642174,47131297,39552982
9,10,46764,1506,1724,0.0,260980909,131718085,71127270
10,11,38979,1638,1286,0.0,218001345,105204383,61332161
11,12,38353,1809,1175,0.0,193368649,93391669,49386365
12,13,37284,1942,1835,0.0,173060603,174761947,67781174
0,1,31408,214,687,0.0,145317244,46388870,47287402
1,2,68924,279,1664,0.0,304637754,97917869,175481657
2,3,38055,280,388,0.0,144458141,48185992,59723007
3,4,34690,361,105,0.0,124538956,48487047,56853025
4,5,38132,456,849,0.0,159159310,51657377,51588111
5,6,32364,735,1964,0.0,147984406,63139791,61669235
6,7,42103,1517,1671,0.0,211340862,146998101,69228326
7,8,42658,1724,1554,0.0,196343401,148309748,82411352
8,9,39144,1739,925,0.0,201572505,111670341,64127196
0,1,49672,120,1183,0.0,298243490,88987095,116364016
1,2,37213,336,1081,0.0,171004968,66994598,77397788
2,3,36854,458,1599,0.0,149816265,54491589,94001709
3,4,37125,573,1043,0.0,152516986,62711622,82389678
4,5,45391,819,1899,0.0,153467535,36136229,66372555
5,6,37340,814,1311,0.0,166366751,58603589,73011607
6,7,38538,1004,914,0.0,169175424,59959752,66959694
7,8,46593,1089,1608,0.0,154065165,63279315,99147735
8,9,34004,1057,1835,0.0,158915607,44358010,74598715
9,10,38093,1161,384,0.0,147377857,52317445,62599628
10,11,44003,1206,877,0.0,194429328,59790026,84302175
11,12,70561,1377,689,0.0,319044162,52617326,122233123
12,13,37640,1494,181,0.0,131599395,54789116,66979775
13,14,69451,1754,641,0.0,321329613,97624934,116328669
14,15,32471,1734,1548,0.0,142937263,39938642,53585213
15,16,46738,1735,984,0.0,173979440,63773926,87712771
16,17,31663,1966,882,0.0,132726937,46188248,51561237
0,1,32953,509,877,0.0,235956372,115733963,65216496
1,2,38789,563,1793,0.0,230950889,141412786,85740888
2,3,21348,936,1693,0.0,165588216,14110965,33279804
3,4,32862,1123,1724,0.0,178213246,76075821,74558863
4,5,59513,1667,1286,0.0,337319816,116190884,137956990
0,1,41706,91,1262,0.0,268151504,193101378,69820614
1,2,40040,101,1781,0.0,164050294,115609021,66952366
2,3,32520,349,240,0.0,145429543,66703486,66984737
3,4,36244,464,576,0.0,132791772,84098891,74918842
4,5,31032,538,107,0.0,129582479,44537630,51969622
5,6,28966,609,1694,0.0,163025718,98873077,47591436
6,7,44900,722,1426,0.0,177420715,137099967,66273113
7,8,74070,861,343,0.0,295099488,112117876,144141118
8,9,34021,984,780,0.0,157219936,79941216,50739289
9,10,31797,987,1943,0.0,182692070,136795824,59221655
10,11,49588,1013,1324,0.0,340985933,251121229,66700012
11,12,65171,1243,1038,0.0,358813326,179383456,102159527
12,13,41644,1333,1792,0.0,193410961,114929134,55309990
13,14,43880,1439,731,0.0,247558644,143893467,80488830
14,15,45258,1951,1594,0.0,223315936,186471362,79419785
0,1,40638,201,127,0.0,161744298,123329839,83669910
1,2,36615,596,835,0.0,161228968,113904400,54622886
2,3,34997,614,595,0.0,159400656,97905620,51221499
3,4,44774,886,1683,0.0,182552794,219697389,69221878
4,5,42499,928,1365,0.0,202489746,121257518,58992920
5,6,34624,995,469,0.0,172343533,124278973,61227867
6,7,44144,1237,837,0.0,176268423,131374795,64335198
7,8,78201,1817,1361,0.0,355458911,245492879,125927068
8,9,35586,1826,645,0.0,165846009,127939040,48546652
9,10,63670,1949,308,0.0,263235993,226231839,82572573
0,1,68525,361,812,0.083,311158664,492570664,123415684
1,2,40052,414,1582,0.083,146793762,202887144,56041488
2,3,43963,694,1302,0.083,156146399,203173913,87944539
3,4,61479,866,1924,0.083,259660625,322524715,105416072
